Timestamp|UsedLogsegment%
2017-05-04 17:13:59.021894|6.52
2017-05-04 17:14:09.026560|6.52
2017-05-04 17:14:19.031491|6.52
2017-05-04 17:14:29.035679|6.52
2017-05-04 17:14:39.039686|6.52
2017-05-04 17:14:49.044089|0.43
2017-05-04 17:14:59.048875|0.43
2017-05-04 17:15:09.054009|0.47
2017-05-04 17:15:19.058352|0.47
2017-05-04 17:15:29.063074|0.47
2017-05-04 17:15:39.068074|0.47
2017-05-04 17:15:49.072610|0.43
2017-05-04 17:15:59.078318|0.43
2017-05-04 17:16:09.082952|0.47
2017-05-04 17:16:19.087234|0.47
2017-05-04 17:16:29.091793|0.47
2017-05-04 17:16:39.095701|0.51
2017-05-04 17:16:49.100076|0.47
2017-05-04 17:16:59.104936|0.47
2017-05-04 17:17:09.109193|0.47
2017-05-04 17:17:19.113780|8.52
2017-05-04 17:17:29.118320|8.52
2017-05-04 17:17:39.123336|8.52
2017-05-04 17:17:49.128074|6.48
2017-05-04 17:17:59.132134|6.49
2017-05-04 17:18:09.138750|6.49
2017-05-04 17:18:19.142435|6.49
2017-05-04 17:18:29.145886|6.52
2017-05-04 17:18:39.151043|6.52
2017-05-04 17:18:49.158591|0.47
2017-05-04 17:18:59.162549|0.47
2017-05-04 17:19:09.166404|0.47
2017-05-04 17:19:19.169944|0.47
2017-05-04 17:19:29.173355|0.47
2017-05-04 17:19:39.177928|0.50
2017-05-04 17:19:49.182271|0.43
2017-05-04 17:19:59.186256|0.43
2017-05-04 17:20:09.190190|0.43
2017-05-04 17:20:19.194624|0.43
2017-05-04 17:20:29.199239|0.43
2017-05-04 17:20:39.203827|0.43
2017-05-04 17:20:49.207189|0.43
2017-05-04 17:20:59.211471|0.43
2017-05-04 17:21:09.216655|0.43
2017-05-04 17:21:19.222821|0.43
2017-05-04 17:21:29.228789|0.43
2017-05-04 17:21:39.234776|0.43
2017-05-04 17:21:49.239959|0.39
2017-05-04 17:21:59.244514|0.43
2017-05-04 17:22:09.248469|0.43
2017-05-04 17:22:19.258737|8.44
2017-05-04 17:22:29.267561|8.44
2017-05-04 17:22:39.271118|8.44
2017-05-04 17:22:49.282186|6.45
2017-05-04 17:22:59.287681|6.48
2017-05-04 17:23:09.293041|0.43
2017-05-04 17:23:19.299877|0.43
2017-05-04 17:23:29.307801|0.43
2017-05-04 17:23:39.312413|0.43
2017-05-04 17:23:49.316025|0.39
2017-05-04 17:23:59.324545|0.39
2017-05-04 17:24:09.328331|0.43
2017-05-04 17:24:19.333260|0.43
2017-05-04 17:24:29.338602|0.43
2017-05-04 17:24:39.344180|0.43
2017-05-04 17:24:49.348248|0.39
2017-05-04 17:24:59.353161|0.39
2017-05-04 17:25:09.371310|0.40
2017-05-04 17:25:19.380628|0.43
2017-05-04 17:25:29.385839|0.43
2017-05-04 17:25:39.394182|0.43
2017-05-04 17:25:49.404979|0.39
2017-05-04 17:25:59.409828|0.39
2017-05-04 17:26:09.413966|0.39
2017-05-04 17:26:19.421494|0.39
2017-05-04 17:26:29.425673|0.43
2017-05-04 17:26:39.429540|0.43
2017-05-04 17:26:49.437269|0.43
2017-05-04 17:26:59.441593|0.43
2017-05-04 17:27:09.444992|0.43
2017-05-04 17:27:19.453443|8.44
2017-05-04 17:27:29.457030|8.44
2017-05-04 17:27:39.464518|8.48
2017-05-04 17:27:49.470725|6.49
2017-05-04 17:27:59.479585|6.49
2017-05-04 17:28:09.483891|6.49
2017-05-04 17:28:19.487654|6.49
2017-05-04 17:28:29.508371|6.49
2017-05-04 17:28:39.511867|6.49
2017-05-04 17:28:49.518318|0.43
2017-05-04 17:28:59.523680|0.43
2017-05-04 17:29:09.527440|0.43
2017-05-04 17:29:19.531505|0.43
2017-05-04 17:29:29.535062|0.43
2017-05-04 17:29:39.542721|0.43
2017-05-04 17:29:49.548401|0.39
2017-05-04 17:29:59.553728|0.43
2017-05-04 17:30:09.558291|0.43
2017-05-04 17:30:19.562354|0.43
2017-05-04 17:30:29.567253|0.43
2017-05-04 17:30:39.575871|0.43
2017-05-04 17:30:49.580474|0.39
2017-05-04 17:30:59.591717|0.43
2017-05-04 17:31:09.600452|0.43
2017-05-04 17:31:19.606575|0.43
2017-05-04 17:31:29.611995|0.43
2017-05-04 17:31:39.616955|0.43
2017-05-04 17:31:49.622552|0.39
2017-05-04 17:31:59.627415|0.39
2017-05-04 17:32:09.634034|0.43
2017-05-04 17:32:19.638291|8.44
2017-05-04 17:32:29.643254|8.44
2017-05-04 17:32:39.647626|8.44
2017-05-04 17:32:49.654860|6.45
2017-05-04 17:32:59.659038|6.45
2017-05-04 17:33:09.664241|6.45
2017-05-04 17:33:19.668356|6.48
2017-05-04 17:33:29.694117|6.48
2017-05-04 17:33:39.698542|6.48
2017-05-04 17:33:49.703790|0.43
2017-05-04 17:33:59.709323|0.43
2017-05-04 17:34:09.716256|0.43
2017-05-04 17:34:19.720688|0.43
2017-05-04 17:34:29.727113|0.47
2017-05-04 17:34:39.738247|0.47
2017-05-04 17:34:49.742583|0.43
2017-05-04 17:34:59.750855|0.43
2017-05-04 17:35:09.755490|0.43
2017-05-04 17:35:19.762547|0.43
2017-05-04 17:35:29.766519|0.48
2017-05-04 17:35:39.775131|0.51
2017-05-04 17:35:49.779279|5.17
